,文章ID,發文時間,更新時間,留言內容,按讚數,關鍵字
74,238842994,2022-05-10 09:30:43.829000+00:00,2022-05-10T09:30:43.829Z,題外話Kimkardashian是不是也叫kimwest,1.0,"['題', '外話', 'Kimkardashian', '是', '不是', '也', '叫', 'kimwest']"
75,238842994,2022-05-10 09:31:20.718000+00:00,2022-05-10T09:31:20.718Z,B32抱歉這就是為什麼我剛下飛機就進警局原因,6.0,"['B32', '抱歉', '這', '就是', '為什麼', '我', '剛下', '飛機', '就', '進警局', '原因']"
80,238842994,2022-05-10 10:02:01.603000+00:00,2022-05-10T10:02:01.603Z,讓媽媽過母親節,1.0,"['讓', '媽媽', '過', '母親節']"
82,238842994,2022-05-10 10:12:23.173000+00:00,2022-05-10T10:12:23.173Z,本斥但,1.0,"['本斥', '但']"
83,238842994,2022-05-10 10:21:15.031000+00:00,2022-05-10T10:21:15.031Z,你平常都在做什麼😎關你屁事幹你娘😎你怎知道,7.0,"['你', '平常', '都', '在', '做', '什麼', '😎', '關你', '屁事', '幹', '你', '娘', '😎', '你', '怎', '知道']"
86,238842994,2022-05-10 10:47:48.646000+00:00,2022-05-10T10:47:48.646Z,太噁了吧,2.0,"['太', '噁', '了', '吧']"
90,238842994,2022-05-10 11:04:49.354000+00:00,2022-05-10T11:04:49.354Z,本看起來像爸爸,0.0,"['本看', '起來', '像', '爸爸']"
95,238842994,2022-05-10 11:35:44.219000+00:00,2022-05-10T11:35:44.219Z,媽媽再愛我一次,1.0,"['媽媽', '再愛我', '一次']"
98,238842994,2022-05-10 11:45:32.882000+00:00,2022-05-10T11:45:32.882Z,今天網路用太多了icomVw4hJr8,2.0,"['今', '天網', '路用', '太多', '了', 'icomVw4hJr8']"
104,238842994,2022-05-10 12:01:26.663000+00:00,2022-05-10T12:01:26.663Z,icomrEY9Z7G我要用灌,2.0,"['icomrEY9Z7G', '我要', '用', '灌']"
105,238842994,2022-05-10 12:08:23.985000+00:00,2022-05-10T12:08:23.985Z,今天網路用太多ㄌ,2.0,"['今', '天網', '路用', '太多', 'ㄌ']"
106,238842994,2022-05-10 12:18:35.376000+00:00,2022-05-10T12:18:35.376Z,戀母情結嗎,0.0,"['戀母情結', '嗎']"
107,238842994,2022-05-10 12:30:23.248000+00:00,2022-05-10T12:30:23.248Z,三小⋯,0.0,"['三小', '⋯']"
110,238842994,2022-05-10 12:52:45.640000+00:00,2022-05-10T12:52:45.640Z,我到底看了什麼🤔,1.0,"['我', '到底', '看', '了', '什麼', '🤔']"
111,238842994,2022-05-10 12:54:38.251000+00:00,2022-05-10T12:54:38.251Z,修但幾勒,1.0,"['修', '但', '幾勒']"
112,238842994,2022-05-10 13:02:43.988000+00:00,2022-05-10T13:02:43.988Z,今天好像用太多網路了,1.0,"['今天', '好像', '用太多', '網路', '了']"
113,238842994,2022-05-10 13:06:57.275000+00:00,2022-05-10T13:06:57.275Z,這圖是示意圖,0.0,"['這圖', '是示', '意圖']"
115,238842994,2022-05-10 13:37:03.242000+00:00,2022-05-10T13:37:03.242Z,一定是巨乳蒙蔽了兒子雙眼,0.0,"['一定', '是', '巨乳', '蒙蔽', '了', '兒子', '雙眼']"
117,238842994,2022-05-10 13:54:12.339000+00:00,2022-05-10T13:54:12.339Z,熟女媽媽就是讚,0.0,"['熟女', '媽媽', '就是', '讚']"
118,238842994,2022-05-10 14:05:31.931000+00:00,2022-05-10T14:05:31.931Z,原來SOD都是真,1.0,"['原來', 'SOD', '都是', '真']"
120,238842994,2022-05-10 14:14:57.134000+00:00,2022-05-10T14:14:57.134Z,兒子跟媽媽生出來小孩要叫爸爸還是哥哥🤔,0.0,"['兒子', '跟', '媽媽', '生', '出來', '小孩', '要', '叫', '爸爸', '還是', '哥哥', '🤔']"
121,238842994,2022-05-10 14:22:15.641000+00:00,2022-05-10T14:22:15.641Z,SOD劇情真人版,0.0,"['SOD', '劇', '情真', '人版']"
123,238842994,2022-05-10 14:43:15.980000+00:00,2022-05-10T14:43:15.980Z,我到底看了三小,0.0,"['我', '到底', '看', '了', '三', '小']"
125,238842994,2022-05-10 14:50:28.211000+00:00,2022-05-10T14:51:36.407Z,icom1JU9lgQ想看,0.0,"['icom1JU9lgQ', '想', '看']"
126,238842994,2022-05-10 14:52:28.308000+00:00,2022-05-10T14:52:28.308Z,自從出來之後就好久沒回家看看了,2.0,"['自從', '出來', '之後', '就', '好久沒', '回家', '看', '看', '了']"
127,238842994,2022-05-10 14:53:40.354000+00:00,2022-05-10T14:53:40.354Z,好可怕,0.0,"['好', '可怕']"
128,238842994,2022-05-10 14:57:08.318000+00:00,2022-05-10T14:57:08.318Z,唉原本還想說什麼但都停經了好像也不怕人命了愛怎樣就怎樣吧😐,0.0,"['唉', '原本', '還想', '說', '什麼', '但', '都', '停經', '了', '好像', '也', '不怕', '人命', '了', '愛', '怎樣', '就', '怎樣', '吧', '😐']"
131,238842994,2022-05-10 15:26:27.811000+00:00,2022-05-10T15:26:27.811Z,這不是真愛什麼才是真愛,0.0,"['這', '不是', '真愛', '什麼', '才', '是', '真', '愛']"
133,238842994,2022-05-10 15:32:42.093000+00:00,2022-05-10T15:32:42.093Z,乾我在日劇真有看過這劇情不是a片,0.0,"['乾', '我', '在', '日劇', '真有', '看過', '這', '劇情', '不是', 'a', '片']"
134,238842994,2022-05-10 15:34:27.210000+00:00,2022-05-10T15:34:27.210Z,兒子32看起來像52是怎麼回事,6.0,"['兒子', '32', '看起', '來', '像', '52', '是', '怎麼回事']"
137,238842994,2022-05-10 16:17:41.510000+00:00,2022-05-10T16:17:41.510Z,這應該是示意圖而非那2名當事人,0.0,"['這', '應該', '是示', '意圖', '而', '非', '那', '2', '名當事', '人']"
138,238842994,2022-05-10 16:20:31.619000+00:00,2022-05-10T16:20:31.619Z,我看到了什麼,0.0,"['我', '看', '到', '了', '什麼']"
141,238842994,2022-05-10 16:53:36.444000+00:00,2022-05-10T16:53:36.444Z,🤔🤔,0.0,"['🤔', '🤔']"
143,238842994,2022-05-10 17:04:03.082000+00:00,2022-05-10T17:04:03.082Z,男人會喜歡跟自己媽媽一樣女人嗯一模一樣呢,0.0,"['男人會', '喜歡', '跟', '自己', '媽媽', '一樣', '女人', '嗯', '一模一樣', '呢']"
146,238842994,2022-05-10 17:25:18.382000+00:00,2022-05-10T17:25:18.382Z,ㄜ⋯⋯我到底看了什麼,0.0,"['ㄜ', '⋯', '⋯', '我', '到底', '看', '了', '什麼']"
147,238842994,2022-05-10 17:28:12.785000+00:00,2022-05-10T17:28:12.785Z,怎麼看起來一樣老,0.0,"['怎麼', '看起', '來', '一樣', '老']"
151,238842994,2022-05-10 18:06:54.851000+00:00,2022-05-10T18:06:54.851Z,奇文共賞⋯,0.0,"['奇文共賞', '⋯']"
152,238842994,2022-05-10 18:50:00.426000+00:00,2022-05-10T18:50:00.426Z,佛洛伊德你又贏了一次,5.0,"['佛洛伊德', '你', '又', '贏了', '一次']"
153,238842994,2022-05-10 19:24:04.075000+00:00,2022-05-10T19:24:04.075Z,我該睡了,1.0,"['我', '該', '睡', '了']"
154,238842994,2022-05-10 19:38:28.529000+00:00,2022-05-10T19:38:28.529Z,花發stickerassetsdcardtwimagescc779f987e564142a449c84bfaea37origpng,0.0,"['花發', 'stickerassetsdcardtwimagescc779f987e564142a449c84bfaea37origpng']"
156,238842994,2022-05-10 21:08:37.702000+00:00,2022-05-10T21:08:37.702Z,跟他爸當年一樣忍不住沒事,1.0,"['跟', '他', '爸', '當年', '一樣', '忍不住', '沒事']"
158,238842994,2022-05-10 21:47:30.403000+00:00,2022-05-10T21:47:30.403Z,SOD快來抄,0.0,"['SOD', '快來', '抄']"
159,238842994,2022-05-10 21:58:34.496000+00:00,2022-05-10T21:58:34.496Z,stickerassetsdcardtwimages373c13cc6c41e560a2c8c61c26c5origpng說不定是想報復呢🤔️,0.0,"['stickerassetsdcardtwimages373c13cc6c41e560a2c8c61c26c5origpng', '說', '不定', '是', '想', '報復', '呢', '🤔', '️']"
161,238842994,2022-05-11 00:37:33.958000+00:00,2022-05-11T00:37:33.958Z,stickerassetsdcardtwimages45afaa07fd42989bb07ebbe2aborigpng我今天網路用夠多了icom4mnaFF6,0.0,"['stickerassetsdcardtwimages45afaa07fd42989bb07ebbe2aborigpng', '我', '今', '天網', '路用夠', '多', '了', 'icom4mnaFF6']"
164,238842994,2022-05-11 01:30:13.494000+00:00,2022-05-11T01:30:13.494Z,今天網路用夠多了⋯,0.0,"['今', '天網', '路用夠', '多', '了', '⋯']"
165,238842994,2022-05-11 01:51:06.534000+00:00,2022-05-11T01:51:06.534Z,今天網路用得夠多了,0.0,"['今', '天網', '路用', '得夠', '多', '了']"
170,238842994,2022-05-11 02:58:02.036000+00:00,2022-05-11T02:58:02.036Z,這種本本我看過SOD母子系列stickerassetsdcardtwimages8de2f7bc70af4798be894c7dc7b800origpng,0.0,"['這種', '本本', '我', '看過', 'SOD', '母子', '系列', 'stickerassetsdcardtwimages8de2f7bc70af4798be894c7dc7b800origpng']"
173,238842994,2022-05-11 03:16:39.308000+00:00,2022-05-11T03:16:39.308Z,如果想到我媽是完全不會有這種想法太噁心硬不起來,1.0,"['如果', '想到', '我媽', '是', '完全', '不會', '有', '這種', '想法', '太', '噁心', '硬不起', '來']"
176,238842994,2022-05-11 03:59:41.176000+00:00,2022-05-11T03:59:41.176Z,真母親節快樂了,1.0,"['真', '母親節', '快樂', '了']"
177,238842994,2022-05-11 04:23:43.343000+00:00,2022-05-11T04:23:43.343Z,真˙幹你娘,2.0,"['真', '˙', '幹', '你', '娘']"
179,238842994,2022-05-11 04:26:46.512000+00:00,2022-05-11T04:26:46.512Z,美國人螂性,1.0,"['美', '國人', '螂', '性']"
181,238842994,2022-05-11 04:30:17.858000+00:00,2022-05-11T04:30:17.858Z,他們在學希臘神,1.0,"['他們', '在', '學', '希臘', '神']"
189,238842994,2022-05-11 09:28:16.591000+00:00,2022-05-11T09:28:16.591Z,他這樣算回到出生地嗎,9.0,"['他', '這樣', '算', '回到', '出生地', '嗎']"
192,238842994,2022-05-11 12:35:57.157000+00:00,2022-05-11T12:35:57.157Z,如果親媽是BrandiLove或是KendraLust話絕對不只砲3天砲到斷屌我也甘願✌️✌️,1.0,"['如果', '親媽', '是', 'BrandiLove', '或是', 'KendraLust', '話絕', '對', '不', '只', '砲', '3', '天', '砲', '到', '斷', '屌', '我', '也', '甘願', '✌', '️', '✌', '️']"
193,238842994,2022-05-11 16:32:17.159000+00:00,2022-05-12T07:52:46.973Z,我記得有一種東西叫做遺傳性吸引就是說當有血緣關系人相隔很久才見到面之後會對多方有很大性吸引力這是維基百科原文是一個用於描述最早就作為成年人見面近親親屬之間可能發生壓倒性性吸引力概念和術語該詞指一種在近親之間性吸引一般多見於成年後第一次見面姊弟之間尤其是在沒有一起成長兄妹或姐弟一種天生性吸引力甚至父母與子女間也會發生遺傳性性吸引現象一種觀點認為這是雙方有著相似遺傳基因所致使另一種觀點認為所謂遺傳性性吸引只是一種實際存在現象但沒有直接證據並將此假說批評為偽科學,1.0,"['我記', '得有', '一種', '東西', '叫做', '遺傳性', '吸引', '就是說', '當有', '血緣', '關系', '人', '相隔', '很', '久', '才', '見', '到', '面', '之', '後會', '對', '多方', '有', '很大', '性', '吸引力', '這是', '維基百科', '原文', '是', '一個', '用', '於', '描述', '最早', '就', '作為', '成年人', '見面', '近親', '親屬', '之間', '可能', '發生', '壓倒性', '性', '吸引力', '概念和術', '語該', '詞指', '一種', '在', '近親', '之間', '性', '吸引', '一般', '多見於', '成年', '後', '第', '一次', '見面', '姊弟', '之間', '尤其', '是', '在', '沒有', '一起', '成長', '兄妹', '或', '姐弟', '一種', '天生', '性', '吸引力', '甚至', '父母', '與', '子女', '間', '也', '會', '發生', '遺傳', '性性', '吸引', '現象', '一種', '觀點', '認為', '這是', '雙方', '有', '著', '相似', '遺傳', '基因', '所致', '使', '另', '一種', '觀點', '認為', '所謂', '遺傳', '性性', '吸引', '只是', '一種', '實際', '存在', '現象', '但', '沒有', '直接', '證據', '並將', '此', '假說', '批評', '為', '偽科學']"
196,238842994,2022-05-11 20:03:16.439000+00:00,2022-05-11T20:03:16.439Z,這是洄游概念嗎探訪自己起源,1.0,"['這是', '洄游', '概念', '嗎', '探訪', '自己', '起源']"
197,238842994,2022-05-11 20:46:39.073000+00:00,2022-05-11T20:46:39.073Z,🤮🤮🤮,0.0,"['🤮', '🤮', '🤮']"
198,238842994,2022-05-12 00:00:44.456000+00:00,2022-05-12T00:00:44.456Z,我老婆也大我19歲只不過她不是我媽,0.0,"['我', '老婆', '也', '大', '我', '19', '歲', '只不過', '她', '不是', '我媽']"
199,238842994,2022-05-12 01:27:29.261000+00:00,2022-05-12T01:27:29.261Z,好荒謬,0.0,"['好', '荒謬']"
206,238842994,2022-05-12 07:00:03.010000+00:00,2022-05-12T07:00:03.010Z,原來SOD都是真,0.0,"['原來', 'SOD', '都是', '真']"
209,238842994,2022-05-12 09:27:56.853000+00:00,2022-05-12T09:27:56.853Z,stickerassetsdcardtwimages7e5ca9d1f84bc09274c7a8fc0594origpng我看了什麼,0.0,"['stickerassetsdcardtwimages7e5ca9d1f84bc09274c7a8fc0594origpng', '我', '看', '了', '什麼']"
210,238842994,2022-05-12 09:28:54.220000+00:00,2022-05-12T09:28:54.220Z,今天流量太多了,1.0,"['今天', '流量', '太多', '了']"
214,238842994,2022-05-12 12:33:15.446000+00:00,2022-05-12T12:33:15.446Z,兒子超老,0.0,"['兒子', '超老']"
217,238842954,2022-05-10 03:37:59.743000+00:00,2022-05-10T03:37:59.743Z,好讚stickerassetsdcardtwimages2ee126ed864652a920d40843ddorigpng但求ios蘋果用戶哭哭ಥ_ಥ,0.0,"['好', '讚', 'stickerassetsdcardtwimages2ee126ed864652a920d40843ddorigpng', '但求', 'ios', '蘋果', '用戶', '哭哭', 'ಥ', '_', 'ಥ']"
218,238842954,2022-05-16 15:39:51.635000+00:00,2022-05-16T15:39:51.635Z,我也想協助送養流浪動物請問能詢問您這方面經驗分享嗎謝謝您🙏,0.0,"['我', '也', '想', '協助', '送養', '流浪', '動物', '請', '問能', '詢問', '您', '這方面', '經驗', '分享', '嗎', '謝謝', '您', '🙏']"
219,238842923,2022-05-09 21:22:04.668000+00:00,2022-05-09T21:26:39.702Z,先撇除他這個行為是否正確有些可能覺得沒什麼但有些人就會非常在意剛去看他精選有些有幫忙馬賽克有一些沒有不過我覺得可以不用提到小朱他們名字😂就單純說攝影師事情就好不然怕之後留言如果有歪樓傷害到小朱他們就不好了但是回歸正題來說你提出這個真值得探討尤其現在網路訊息越來越氾濫所以到底道德界線在那邊呢🤔謝謝你分享你看法😀,1.0,"['先撇除', '他', '這個', '行為', '是', '否正確', '有些', '可能', '覺得', '沒', '什麼', '但有', '些', '人', '就', '會', '非常', '在意', '剛去', '看', '他', '精選', '有些', '有', '幫忙', '馬', '賽克有', '一些', '沒有', '不過', '我', '覺得', '可以', '不用', '提到', '小', '朱', '他們', '名字', '😂', '就', '單純', '說', '攝影師', '事情', '就', '好', '不然', '怕', '之後', '留言', '如果', '有歪樓', '傷害', '到', '小', '朱', '他們', '就', '不好', '了', '但是', '回歸', '正題', '來說', '你', '提出', '這個', '真', '值得', '探討', '尤其', '現在', '網路訊息', '越來', '越', '氾', '濫', '所以', '到底', '道德界線', '在', '那邊', '呢', '🤔', '謝謝', '你', '分享', '你', '看法', '😀']"
220,238842923,2022-05-09 21:36:49.076000+00:00,2022-05-09T21:36:49.076Z,你去跟他講啊,0.0,"['你', '去', '跟', '他講', '啊']"
222,238842920,2022-05-10 08:17:23.895000+00:00,2022-05-10T08:20:43.248Z,反正裡面都是運動內衣而已有不小心看到運動內衣會覺得罪惡吧覺得這樣不好其實女生根本不在乎記得運動要穿運動內衣反正就是合身內衣有看過非常完整呈現當然你不在意就沒差只是奶子而已,131.0,"['反正', '裡面', '都是', '運動', '內衣', '而', '已有', '不', '小心', '看到', '運動', '內衣', '會', '覺得', '罪惡', '吧', '覺得', '這樣', '不好', '其實', '女生', '根本', '不在乎', '記得', '運動', '要', '穿', '運動', '內衣', '反正', '就是', '合身', '內衣', '有', '看過', '非常', '完整', '呈現', '當然', '你', '不', '在意', '就', '沒差', '只是', '奶子', '而', '已']"
223,238842920,2022-05-10 11:20:01.531000+00:00,2022-05-10T11:20:01.531Z,當妳朋友朋友還真難提醒不是不提醒也不是不過我不會提醒就是了曝光那妳事漂亮我看爽不漂亮我自己轉頭就好噁男嗎不喔提醒也是被當怪人那何必講,626.0,"['當', '妳', '朋', '友朋', '友還', '真難', '提醒', '不是', '不', '提醒', '也', '不是', '不過', '我', '不會', '提醒', '就是', '了', '曝光', '那', '妳', '事', '漂亮', '我', '看爽', '不', '漂亮', '我', '自己', '轉頭', '就', '好', '噁', '男', '嗎', '不', '喔', '提醒', '也', '是', '被當', '怪人', '那', '何必', '講']"
224,238842920,2022-05-10 12:31:07.335000+00:00,2022-05-10T12:31:07.335Z,話說我不是男生還是想回一下跟朋友去烤肉有個男生悄悄跟我說注意胸前領口我不覺得被提醒很怪只是我在往前頃時候就會稍微壓一下有些人怕女生沒注意到講一下而已不用想這麼多,361.0,"['話', '說', '我', '不是', '男生', '還是', '想', '回', '一下', '跟', '朋友', '去', '烤', '肉', '有', '個', '男生', '悄悄', '跟', '我', '說', '注意', '胸前', '領口', '我', '不覺', '得', '被', '提醒', '很', '怪', '只是', '我', '在', '往前', '頃時候', '就', '會', '稍', '微壓', '一', '下有', '些', '人怕', '女生', '沒注', '意到講', '一下', '而', '已', '不用', '想', '這麼', '多']"
225,238842920,2022-05-10 14:00:43.798000+00:00,2022-05-10T14:00:43.798Z,如果真不小心沒注意到然後有人提醒話都會覺得感謝吧無關男女,73.0,"['如果', '真', '不', '小心', '沒注', '意到', '然後', '有人', '提醒', '話', '都', '會', '覺得', '感謝', '吧', '無關', '男女']"
226,238842920,2022-05-10 15:59:25.260000+00:00,2022-05-10T16:00:08.865Z,男生真要好好保護自己欸好心提醒還要被上低卡說怪如果他真有非分之想就直接像說一樣不提醒默默看就好了何必去提醒你讓自己減少看到妳曝光機會,33.0,"['男生', '真要', '好好', '保護', '自己', '欸', '好心', '提醒', '還要', '被', '上', '低卡', '說', '怪', '如果', '他', '真有', '非分', '之', '想', '就', '直接', '像', '說', '一樣', '不', '提醒', '默默', '看', '就', '好', '了', '何必', '去', '提醒', '你', '讓', '自己', '減少', '看', '到', '妳', '曝', '光機', '會']"
227,238842920,2022-05-10 17:26:07.359000+00:00,2022-05-10T17:26:07.359Z,我覺得不用提醒耶知道要去運動還這麼穿不就是很有展現慾望這種鼓勵都來不及了,2.0,"['我', '覺得', '不用', '提醒', '耶', '知道', '要', '去', '運動還', '這麼', '穿', '不', '就是', '很', '有', '展現', '慾望', '這種', '鼓勵', '都', '來不及', '了']"
