留言名字,回覆內容
"

chiang

","
davidchange wrote:蔣大問題是好文爛文沒一個標準啊
每天01大首頁文章，分區首頁文章，各區置頂精選文章......等等，你可以從這些方面開始給分iamaminimalist wrote:這問題很好解決給分裡加上負數選項就好了
負分只會讓事情變得更糟，如果這篇文章真的不好，你可以按上一頁離開就好
"
"

超級不行者

","
chiang wrote:wrote:我覺得很好笑 這樣可以加5分嗎
不行
好了 不行加分蔣大都這麼說了大家還不快來幫我加分~~
"
"

喬大叔

","
chiang wrote:負分只會讓事情變得更糟，如果這篇文章真的不好，你可以按上一頁離開就好
...
"
"

chiang

","
超級不行者 wrote:好了 不行加分蔣大都這麼說了大家還不快來幫我加分~~
你一定要當我的面給我漏氣就對了，不能等我去吃飯時候再玩嗎?拜託，拜託，不要再亂給分了
"
"

Mr ciprino

","
chiang wrote:你一定要當我的面給我(恕刪)
還不簡單每個人每天都能加10分要幫人加分超過10分以上多的分就從加分的人身上去扣就好啦就只是系統增加一些功能而已反正也不少人玩加分也洗了不少分可以拿來分之前版龜不是還有亂加分的會被進城處理當年的霸氣那裡去了如果有可以送分，我一定會把我所有的分數拿來分給那些寫好文的 哪有姑娘不戴花 wrote:你想太多了，我一直都...(恕刪)
我的3千多分是不是你加的 
"
"

喬大叔

","
chiang wrote:你一定要當我的面給我漏氣就對了，不能等我去吃飯時候再玩嗎?拜託，拜託，不要再亂給分了
請問用餐時間...
"
"

喬大叔

","
 Mr ciprino wrote:還不簡單每個人每天都能加10分要幫人加分超過10分以上多的分就從加分的人身上去扣就好啦就只是系統增加一些功能而已
...在這之前...全部先重置吧...
"
"

白雪壞媽媽

","
好唷！
"
"

jk300

","
1人只能1分比起1人給5分好吧？
"
"

哪有姑娘不戴花

","
Mr ciprino wrote:我的3千多分是不是你加的
又來了~你們鹹寮版的怎麼老愛叫我幫忙加分要我加分前，先想想你們的廢文有寫的比外星貓爛嗎!!!沒有的就先閃一邊去^+++^
"
"

白雪壞媽媽

","
哪有姑娘不戴花 wrote:又來了~你們鹹寮版...(恕刪)
怎麼辦？我忍不住按加分了⋯⋯是不是還沒到蔣大吃飯時間？
"
"

chiang

","
喬大叔 wrote:請問用餐時間...
我最近減重中，沒有在吃飯的
"
"

chiang

","
大家都在，給你們一個功課，幫我想想這題該怎麼寫https://www.mobile01.com/topicdetail.php?f=601&t=6081744
"
"

喬大叔

","
chiang wrote:我最近減重中，沒有在吃飯的
還減...請問減重菜單...
"
"

狗子2008

","
喬大叔 wrote:還減...請問減重菜(恕刪)
我都直接吃2份減重餐減重效果不好
"
"

喬大叔

","
chiang wrote:大家都在，給你們一個功課，幫我想想這題該怎麼寫
被最多人黑的呢...新聞區的應該很精采...
"
"

涼山蔔

","
我覺得蔣大寫得很好,也很重要所以給了5分!!這樣是對的吧??
"
"

涼山蔔

","
iamaminimalist wrote:這問題很好解決給分裡加上負數選項就好了
你想要拿負分拿最多氣死那隻白老虎是不是??我就了解你的企圖!!!
"
"

喬大叔

","
狗子2008 wrote:我都直接吃2份減重餐減重效果不好
這樣會有兩倍的減重效果??...
"
"

狗子2008

","
喬大叔 wrote:被最多人黑的呢...(恕刪)
停權最久的人停權次數最多的人
"
"

Mr ciprino

","
chiang wrote:大家都在，給你們一個(恕刪)
有没有入城次數最多的帳號仍在線上活動的 
"
"

哪有姑娘不戴花

","
chiang wrote:大家都在，給你們一個(恕刪)
這還不簡單~找找看那幾個帳號是被關到2038年的~~~唉~~~進城次數最多，目前仍在線的(真的是對01死心踏地阿.....XD)我不要去惡魔島回你~~~他們想把我抓進去想很久了~~~我不去~~~Mr ciprino wrote:有没有入城次數最多的(恕刪)
果然是有經歷過風浪的才懂~~~^+++^
"
"

Mr ciprino

","
狗子2008 wrote:停權最久的人(恕刪)
這個人大家都知道誰 
"
"

Mr ciprino

","
哪有姑娘不戴花 wrote:這還不簡單~找找看那(恕刪)
為了你我再提出一題曾經在一篇文裡寫過最多進城死因的傢伙是誰 
"
"

哪有姑娘不戴花

","
Mr ciprino wrote:這個人大家都知道誰(恕刪)
雄中大還沒回來復權前，都不要說太早^+++^
"
"

哪有姑娘不戴花

","
Mr ciprino wrote:為了你我再提出一題曾(恕刪)
那篇亂葬崗，當年有傳說誰去回文誰就得葬在那^+++^最後連開版的都被活埋了對吧XD
"
"

Mr ciprino

","
哪有姑娘不戴花 wrote:那篇亂葬崗，當年有傳(恕刪)
其實我最想知道的是轉生次數最多的是誰 
"
"

喬大叔

","
Mr ciprino wrote:其實我最想知道的是轉(恕刪)
拳大??靠??...分身最多者呢...
"
"

iamaminimalist

","
涼山蔔 wrote:你想要拿負分拿最多氣(恕刪)
大家都是好朋友
"
"

chiang

","
狗子2008 wrote:停權最久的人停權次數最多的人
Mr ciprino wrote:有没有入城次數最多的帳號仍在線上活動的
哪有姑娘不戴花 wrote:進城次數最多，目前仍在線的(真的是對01死心踏地阿.....XD)
你們跑錯棚了，要去另外一篇回文啊
"
"

哪有姑娘不戴花

","
chiang wrote:大家都在，給你們一個(恕刪)
阿~對了，既然你在這兒有一件事想請你幫個忙大腸人~街角的癡漢從以前就一直很想要一面免死金牌讓閒聊版的各位羨慕一下看在他這麼多年都進不了推進城的份上你有沒有甚麼東西可以掛在他頭像上當免死金牌的東西讓他可以邱一下^+++^
"
"

01白虎哥

","
chiang wrote:各位知道我們設立給分...(恕刪)
我當初推廣洗分樓，主要就是幫助大家廠開心胸，勇於給他人分數。不然以大家高傲的神骨，即使寫好文，也不給分的。當然，任何政策都會有意外的焗效應，但只要方向正確，最終會使大家感化的。所以站長不用太擔心啦，只要人氣在，船到橋頭自然直。加油啊。
"
"

Mr ciprino

","
喬大叔 wrote:拳大??靠??...(恕刪)
分身最多的我記得不孝子小杯子？錯了他還排不上傳說中曾經有一位有122個分身忽男忽女的人妖哥 
"
"

喬大叔

","
chiang wrote:你們跑錯棚了，要去另外一篇回文啊
...
"
"

喬大叔

","
Mr ciprino wrote:分身最多的我記得不孝子小杯子？錯了他還排不上傳說中曾經有一位有122個分身忽男忽女的人妖哥
同時玩那麼多...玩??...被玩??...
"
"

HAHAfox

","
chiang wrote:各位知道我們設立給分(恕刪)
給分制有點雞肋.............本人記得有位 01 白虎刷到10萬分以上！建議：1. 由 01 管理員評分管制2. 由十年以上的優良會員評分最後建議：設計一個「廢文幫」狗牌，只要滿足條件，終身在會員頭像嵌入！（有污辱人格之嫌！請斟酌使用！）
"
"

心若明鏡

","
01白虎哥 wrote:我當初推廣洗分樓，主...(恕刪)
洗分樓很歡樂的寫的令人發笑文章給五分不為過吧😅😅😅
"
"

喬大叔

","
HAHAfox wrote:2. 由十年以上的優良會員評分
排擠新會員??...您剛好滿十年...所以用十年當標竿??...
"
"

喬大叔

","
心若明鏡 wrote:洗分樓很歡樂的寫的令人發笑文章給五分不為過吧
空包彈就過了...
"
"

HAHAfox

","
喬大叔 wrote:排擠新會員??...(恕刪)
你想太多囉！就只是隨意建議！純屬嘴砲！
"
"

喬大叔

","
HAHAfox wrote:你想太多囉！就只是隨意建議！純屬嘴砲！
年資這種東西是最不需要的...有倚老賣老之嫌...軍中不乏學長學弟制...靈衣還要搞這一套??...又巧您是2010年1月註冊的...剛好是滿了十年...故...在建議時...也當避嫌...不是嗎...
"
"

arthur1125

","
01白虎哥 wrote:我當初推廣洗分樓，主(恕刪)
這宗旨, 只能給你5分不能再多了.....
"
"

arthur1125

","
心若明鏡 wrote:洗分樓很歡樂的寫的令(恕刪)
這篇只能給你4分了......
"
"

iamaminimalist

","
分數可以像點數一樣換東西才有用怕浮濫就每天限定一人只有100分可以給就好了
"
"

HAHAfox

","
喬大叔 wrote:年資這種東西是最不需(恕刪)
嗯，你好認真！你還是廢文幫嗎？本人就說了：你想太多！本人就隨意舉個十年，就無意識隨口而已！你卻沒注意到「優良會員」！ 一切只有 01的蔣大採用決定，又不是你我！所以本人就強調了：純屬嘴砲！
"
"

handful

","
喬大叔 wrote:年資這種東西是最不需(恕刪)
好，就頭尾加起來算 12年... 
"
"

arthur1125

","
handful wrote:好，就頭尾加起來算 12...(恕刪)
還好小弟快滿15年.........
"
"

喬大叔

","
handful wrote:好，就頭尾加起來算 12...(恕刪)
有避嫌的說法...
"
"

狗子2008

","
積分我有硏究過，我在2017年就發文討論過，【01論廢】 誰是廢文之最 結果讓你意想不到............並創立了 廢文指數不過自從開放分身，積分就不值錢，左手可以給右手加分，不過狗子我所有的分數都是貨真價實。我個人的建議，積分不是可以無限給的，要有賺積分，才能給分，例如發文給10分，回文給1分，點廣告給2分。自己要先賺了積分，之後才能夠給人家分數。每隔一段時間，給這段時間那些得分高的人，一些實質奬勵，大家給分就會謹慎一些。
"
"

喬大叔

","
iamaminimalist wrote:分數可以像點數一樣換東西才有用怕浮濫就每天限定一人只有100分可以給就好了
一天一百...也太多了吧...靈衣一天沒那麼多好文可以給分的...
"
"

喬大叔

","
狗子2008 wrote:積分我有硏究過，我在2017...(恕刪)
不發文的路過...
"
"

喬大叔

","
HAHAfox wrote:你卻沒注意到「優良會員」！ 一切只有 01的蔣大採用決定，又不是你我！
有注意到啊...但, 那種寫法...十年以上的優良會員...沒在多加註解之下...就只是一種形容詞...靈衣的每個會員...都是優良會員...這樣的意思...
"
"

愛爾羅西

","
chiang wrote:各位知道我們設立給分(恕刪)
有沒有噓或BP的機制啊
"
"

evon0102

","
chiang wrote:各位知道我們設立給分(恕刪)...各位都會說01好文章越來越少，這都是因為少了各位的支持跟鼓勵，讓這些分享者少了動力，如果你寫了一篇好文章，沒人參與也沒人給分，我想幾次後你也會沒動力...
遵照辦理5分奉上看到此篇好文深表贊同特別登入留言回應在這疫情非常時期祝福大家都平安...
"
"

亞利安星人

","
哪有姑娘不戴花 wrote:你想太多了，我一直都(恕刪)
e04~片皮鴨你請定了！
"
"

chiang

","
亞利安星人 wrote:e04~片皮鴨...(恕刪)
有沒有人志願推動”好文給分回文協會”的成立跟推動，我請他吃名人坊烤鴨 😋
"
"

davidchange

","
chiang wrote:我最近減重中，沒有在...(恕刪)
小弟發現完全沒澱粉不太對小弟曾經一個月瘦十公斤以上小弟都是晚餐極少或不吃澱粉但到隔天早餐盡量間隔12到16小時中間祇能喝水
"
"

Mr ciprino

","
chiang wrote:有沒有人志願推動”好(恕刪)
蒸的夾的？外星仔你的任務來了記得有鴨吃通知阿貓去參加你留在倫敦我會拍照給你看的 
"
"

瞳顏無忌

","
chiang wrote:各位知道我們設立給分功能的意義嗎?給分功能設立之初是希望能夠給寫好文章的人，或是回答問題很認真的人一種鼓勵但是現在卻變成很多人拿來玩樂的一種工具，失去的它原本設計的目的我在此誠懇的呼籲，不要再亂用給分系統了，如果你真的很愛這個功能，你應該去把分數給真正發表分享文的網友，或是去參與他文章回文，給這些分享者一點鼓勵各位都會說01好文章越來越少，這都是因為少了各位的支持跟鼓勵，讓這些分享者少了動力，如果你寫了一篇好文章，沒人參與也沒人給分，我想幾次後你也會沒動力我希望夠過溝通跟溫情喊話能讓大家改變使用習慣，不要讓我們用規定或強制拿掉這個功能的方式來處理問題，我不認爲這種方式是最好的解決方法，再次呼籲大家幫忙，多給發文者鼓勵，不要再亂用給分功能，拜託
依稀記得好像是2018年末的時候發現~~01終於開放讓回文者也能給其他的回文者加分~~敝人是真心喜歡站方的這個德政~~坦白說，有些好文不是那麼容易可以讀懂，難免會曲高和寡~~然而，事實上吝於給人鼓勵的版友還是佔絕大多數~~所以您看到的給分功能所造成的負向影響，幾乎影響不大~~但是善用加分功能~~卻能真正鼓舞長期潛水的老會員願意登入進來與大家互動~~當然版友們不見得願意發文，但是卻更樂於輕鬆分享他們的所見所聞~~小的相信01論壇一定會越來越好~~也期許站方能夠更加優化好文加分的機制。加油!....(*^.^*)
"
"

A博

","
chiang wrote:有沒有人志願推動”好文給分回文協會”的成立跟推動，我請他吃名人坊烤鴨
01程式必須先設立""回文累積積分"".......然後幾十個回文才能給他人加1分.......也就是如同信用卡刷30元得1點的意思,此時給分功能才真有其參考意義,當然VIP是回文20篇就有1點大家回文都是在開玩笑.......只有我在講正經.......我這樣的回文如果不算好文不給我5分實在說不過去
"
"

iamaminimalist

","
A博 wrote:01程式必須先設立""...(恕刪)
+5
"
"

我真的是個送外賣的

","
chiang wrote:各位知道我們設立給分(恕刪)
蔣大應該把這篇貼去新聞區至頂吧我覺得那邊亂給分的情形更嚴重只要立場偏激 伐異黨同得分更高==========不知道能不能統計這種的文章觀看數高但是回文數量低的
"
"

我真的是個送外賣的

","
瞳顏無忌 wrote:依稀記得好像是2018(恕刪)
副總早其實給分的作用一直很不明朗又不是說單一文章得分高的就可以自動至頂或是分版(手機板 或是 相機版)得分高的可以拿VIP一個月像是陸仁賈二哥的木工文章 小的幾乎看到都有給5分給著給個好像也不能幹嘛久了就連登入mobile01都不想了
"
"

艱苦狼

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的(恕刪)
說得好，給你5分！
"
"

macross_sato

","
有時候檢討大家亂給分， 卻無法順著這麼多人的用法來發展出有利於網站運作的賣點，那是不是離村民越來越遙遠？
"
"

wooohome

","
建議能不能加五分改為加100分想給人87分
"
"

我就是香蕉

","
chiang wrote:各位知道我們設立給分(恕刪)
除了給分之外，趁機會我也要以受害者的身分來請問蔣大停權的標準是什麼?管理員所受到的訓練足夠判斷發文是否違規嗎?事情的始末如下，我這個帳號(我就是香蕉)在農曆年除夕前莫名其妙被停權，使得我因為要參加過年的抽獎活動，所以趕快又申請一個新帳號 君子之蕉蛋如水，結果申請完那個新帳號之後，隔2，3天後被停權的舊帳號又莫名其妙的被管妹復權，管妹也沒給我一個當初正當的停權理由，試問，除夕前的那次停權，如果我真有違規的話，又怎麼會在2，3天後復權呢?按規定不是至少要停權30天嗎?如果我當時沒違規的話，那當初將我停權2，3天是為什麼原因?管理員一直沒有給我正當的理由。我當時就想問了，但是有人勸我息事寧人，所以我也就算了，而這個""我就是香蕉""的帳號，也在我註冊了""君子之蕉蛋如水""的帳號之後就沒有登入與使用了，直到今天，""君子之蕉蛋如水""的帳號又莫名其妙的被停權了，於是我又重新登入這個帳號來向蔣大反應這個問題，因為我有些事情要處理，所以""君子之蕉蛋如水""的那個帳號，我在4月自己禁言一個月，所以那兩個帳號都沒有上來發言，直到一個月後的今天，5月1日早上才用""君子之蕉蛋如水""的帳號登入，但總共只回覆了6則留言之後就被停權了，然後不得已，被停權了之後不能發言，所以我才又使用了這個""我就是香蕉""的帳號上來反應問題。我回覆的文章的連結如下，請問我的那些留言有什麼問題?閒聊版不就是聊天畫唬爛的地方嗎?🌸01 林志玲 (264樓有彩蛋）~~~ 29689樓以及29693樓 共兩則君子之蕉蛋如水 wrote:肥蝦哥早，大家早，這段時間漏失太多樓了，懶得爬了，先送上一首歌給大家。再來一首
君子之蕉蛋如水 wrote:阿湯哥早好久沒打屁了，先來一段說文解字暖暖身。因為01不能打注音符號，所以注音以國字代替。大家跟著我一起念.......哥暗~幹這意思就是說，當哥哥把電燈關暗的時候，妳就知道他要幹什麼事了
如何在內文上插入影片呢?~~~16樓君子之蕉蛋如水 wrote:看到標題又有""影片""又有""插入""，害我褲子脫一半
大億麗緻要歇業了~~ 11樓君子之蕉蛋如水 wrote:他的手骨可能被打斷過好幾次吧，不然人家說~打斷手骨顛倒勇 是在說假的嗎?
沒想到台灣也有美女調查官！！！！~~4樓跟6樓 共兩則君子之蕉蛋如水 wrote:活該，明知道是""幹員""，還要赴約，那不就等於提著燈籠上茅房嗎?
君子之蕉蛋如水 wrote:謝謝GG，我們這邊一斤32元，快要吃不起了
---------------------以上總共6則回文，然後就被停權了，同時我也把我的回文原封不動的搬上來，讓大家看看那些文字在閒聊版有什麼問題?如果真的有錯的話，我會虛心接受，但是如果這些文字足以達到停權標準的話，如果按照這種標準，那大家以後該怎麼回文也請管妹教大家一下，但如果閒聊版大家畫虎爛的這些梗沒有違規的話，是否也該請管妹說明一下呢?我知道可能是有人去檢舉，管妹才會處理，但是管妹自己也要有一套標準啊，某些人就是小鼻子小眼睛的忌妒他人，所以私下用一些小手段來搞那些讓牠看不順眼的人，但是管妹不能隨之起舞啊，不應該是任何人檢舉，管妹就不分青紅皂白地將人停權啊，我到底是犯小人還是得罪管妹呢?如果真的要這樣搞，還是說乾脆再把我這個帳號給停了，閒聊版少了我不會怎樣，而我不上來也不會怎樣，反正我4月一個月都沒上來發言，結果一上來打了6則回文之後，就莫名其妙的被停權，蔣大，這種網站你待得下去嗎?
"
"

iamaminimalist

","
我就是香蕉 wrote:除了給分之外，趁機會(恕刪)
管妹如果那麼聰明能分辨是非就去當法官了根源是你有沒和誰槓上了有人愛檢舉你啊矛頭別對著管妹啊這年頭不好找到好員工了
"
"

我就是香蕉

","
iamaminimalist wrote:管妹如果那麼聰明能分(恕刪)
你拿管妹跟恐龍法官比是在汙衊管妹喔 
"
"

iamaminimalist

","
我就是香蕉 wrote:你拿管妹跟恐龍法官比(恕刪)
說不定管妹是法官轉業的到哪都被罵。可憐吶
"
"

我就是香蕉

","
iamaminimalist wrote:管妹如果那麼聰明能分(恕刪)
槓上當然有啊，當初嘟嘟貓還因此幫我開了一棟香樓，會員""我不是香蕉"" 上香樓那個小鼻子小眼睛的人還趁我被停權無法反擊的時候，沒風度的去我的香樓損我，幸好我及時又申請了一個新帳號把他噹回來。不過已經是八百年前的事了，我怎麼知道有那麼愛記仇的小人? 
"
"

我就是香蕉

","
iamaminimalist wrote:說不定管妹是法官轉業的到哪都被罵。可憐吶
你誤會了，我沒罵管妹喔，畢竟那也是一份辛苦的工作，我只是想要一個解釋而已。
"
"

macross_sato

","
我就是香蕉 wrote:你誤會了，我沒罵管妹(恕刪)
蕉哥哥，我不需要解釋，我只要管妹。
"
"

我就是香蕉

","
macross_sato wrote:macross_sato 2020-05-01 11:27 87樓蕉哥哥，我不需要解釋，我只要管妹。
好吧，佐藤哥，先讓給你，你要完管妹之後，記得還要給我一個解釋 你搶到87樓耶 
"
"

艱苦狼

","
我就是香蕉 wrote:你誤會了，我沒罵管妹(恕刪)
得罪了方丈還想走？！
"
"

我就是香蕉

","
艱苦狼 wrote:得罪了方丈還想走？！(恕刪)
得罪方丈?方丈總不能因為我頭髮茂盛比他濃密就要置我於死地吧? 
"
"

 macross_sato

","
我就是香蕉 wrote:好吧，佐藤哥，先讓給(恕刪)
了解。 收到。 等我把到管妹後一定要她吐出真大象。啊！87， 媽呀！ 這是我在01搶過最大的獎項。。。。
"
"

iamaminimalist

","
我就是香蕉 wrote:你誤會了，我沒罵管妹(恕刪)
你字好多喔連假放輕鬆啊蔣大的樓 大家尊重一下
"
"

y-der

","
想給分就給分，不管是廢文還是葉佩雯，又沒意義的東西，有人會在乎？
"
"

小笨賢

","
chiang wrote:各位知道我們設立給分(恕刪)
瘋狂洗分樓~~~就有跟人家說... 洗到100萬分... 也不會比較...不會被刪文~~
"
"

貓貓籠九

","
chiang wrote:各位知道我們設立給分...(恕刪)
蔣大您真是一個失職的站長還有臉在這邊大放厥詞???我就舉我自己的例子2個不要嘴別人1.我曾發過一篇""貓貓龍酒將近酒""裡面有位""肥豬人""網友也算是本版奇杷現在他都不來了, 原因站長, 站務們自己去檢討他只簡短講一句話「我很少給人加分，我加五分」...過了幾年了我都還記得他這句留言2.還有一次我插賭輸本版網友捐一萬說捐就捐那篇文也是沒幾位加分我早知道評分系統爛到不行你們早該改了要是我是站長我早就訂規則了比如說網友每週有登入mobile01三次者每週01給這位網友30分或50分但是網友要加別人分時，要從自己帳戶分數支出這樣不但可以有效增進網站流量(這不是皆大歡喜嗎？)還能杜絕您所謂的""弊端""(我是覺得不算弊端，這完全是站務失職定下的失能評分制度)您不該怪網友應該自宮以謝天下才對
"
"

貓貓籠九

","
貓貓籠九 wrote:蔣大您真是一個失職的(恕刪)
對了蔣大您這篇文太爛了所以我只加1分1分的原因僅是因為這是您的地盤我常來給您個面子如果有扣分系統我會扣您5分
"
"

貓貓籠九

","
貓貓籠九 wrote:對了蔣大您這篇文太爛(恕刪)
三連發我再補踹一腳(啥爛文讓我勞動節放大假還浪費時間回文？)我講話就是這麼雞掰高雄那個設計師早就告訴所有人了我不像1-10頁那些不管是真馬屁還是偽裝馬屁實則酸的我就直講01版務就是這麼爛爛幾年了，站長您比我們這些死窮鬼還清楚不是嗎？
"
"

hx135cb750

","
chiang wrote:各位都會說01好文章越來越少，這都是因為少了各位的支持跟鼓勵，讓這些分享者少了動力，如果你寫了一篇好文章，沒人參與也沒人給分，我想幾次後你也會沒動力
曲高和寡,太有水準的或太偏的專業文章願意看的人本來就少要不然為何電視節目以娛樂性為主?
"
"

macross_sato

","
蔣大被泡到不要不要， 你們實在太壞了！蔣大不哭， 我給你靠， 只要抽獎都算我一份就好。
"
"

我真的是個送外賣的

","
路過我是來搶100樓的
"
"

macross_sato

","
我真的是個送外賣的 wrote:路過我是來搶100樓(恕刪)
又算錯了！算了！搶到87我已經很欣慰了！
"
"

chiang

","
macross_sato wrote:有時候檢討大家亂給分...(恕刪)
體諒一下，我們智慧走到哪改到哪，我們努力往這個方向走了，希望盡可能去做到把不行變成行，把禁止變成服務，持續開放進步
"
"

chiang

","
我就是香蕉 wrote:除了給分之外，趁...(恕刪)
天啊，到底是有幾根香蕉啦，看得我眼都花了如果你的遭遇真的那麼慘，請問你到站務區詢問過嗎？ 客服有給你答覆嗎？
"
"

chiang

","
貓貓籠九 wrote:蔣大您真是一個失...(恕刪)
下一位，謝謝
"
"

chiang

","
macross_sato wrote:蔣大被泡到不要不要，...(恕刪)
我只看到攔轎申冤的，沒看到有人砲什麼啊抽獎這種事要看你平時有沒有牽老太太過馬路，或是對父母有沒有孝順，所以還沒抽到過的話上面兩件事多做一點吧
"
"

Xantia_L

","
可以歸零。均貧一下嗎!?政府有紓困方案。01就沒有，有沒有覺得爛死了。
"
"

我就是香蕉

","
chiang wrote:天啊，到底是有幾根香(恕刪)
我記起來了，除夕前那次停權2，3天，後來管理員給的理由是""預防性停權""，至於要預防什麼，我不記得當時管理員有給我解釋，版規裡面有這項""預防性停權""嗎?我那個帳號沉寂了一個月之後，今早上來只發了6則回覆之後就被停權了，6則回覆之後，管理員到底是要預防什麼?我也搞不清楚。我不曾在01買賣過東西，也沒有在01從事任何商業活動，到底是要預防什麼?總感覺""預防性停權""這把劍完全取決於管理員的自由心證，他如果看某人不爽的話，就可以隨時把劍出鞘，給某人來個預防性停權，讓他措手不及，先關他個兩三天，每隔幾個月就搞他一次，就算沒心臟病也會被嚇出心臟病吧，01上面的老人居多，這樣嚇老人，好像不太好吧?我猜這次可能又是同樣的理由，因為我帳號的會員狀態顯示停權中，https://www.mobile01.com/userinfo.php?id=3444881但是停權公告站務區並沒有公告我被停權的訊息，我那6則回文也沒有被回收，種種情形跟上次幾乎一模一樣，這次我也跟上次一樣在站務區發文問管理員，但是管理員還沒回覆https://www.mobile01.com/forumtopic.php?c=9另外回覆蔣大，目前只剩這一根碩果僅存的香蕉，這根如果也沒了那就都沒了，我很想看看沒有香蕉的時候，蔣大到底要拿什麼去請猴子來貴公司工作?  
"
"

Bentley20190121

","
沒有去過別的類似01的網站，但是覺得這個網站有時候蠻威權的，說停權就停權，只給個莫須有的理由。優質文章也少了，不知道是否有反應在流量上？黑名單這個功能很好，但是也有些缺點，也許可以再改進
"
"

貓貓籠九

","
chiang wrote:下一位，謝謝(恕刪)
連答辯都懶果然是尊貴的大站長那何必發這帖廢文?要改版規可以直接改直接公告要改評分規則也可以直接改直接公告mobile01向來不是如此?發這帖殺小?溫馨提醒友情規勸?得了吧搞威權就不要假民主矯情啊。本喵皇自認在社會打滾比你還要多年，雖然財富可能沒有蔣站長那麼多。不像前面那些傻不巄東的網友還跟您談天論地評分想改就改全部歸零或全部開根號都行反正歸零是王道大家順時鐘就對了錯了是順蔣大就對了
"
